load,side,target,letter1,letter2,letter3,letter4,letter5,letter6,distractor_appears,distr
high,up,N,K,M,H,W,N,V,0,distr/losyash.png
high,up,N,M,W,K,V,H,N,0,distr/pin.png
high,up,N,W,V,M,N,K,H,0,distr/kopatych.png
high,up,N,V,N,W,H,M,K,0,distr/sovunya.png
high,up,N,N,H,V,K,W,M,0,distr/nyusha.png
high,up,N,H,K,N,M,V,W,0,distr/ezhik.png
high,up,N,K,M,H,W,N,V,0,distr/barash.png
high,up,N,M,W,K,V,H,N,0,distr/karych.png
high,up,N,W,V,M,N,K,H,0,distr/krosh.png
high,up,N,V,N,W,H,M,K,0,distr/losyash.png
high,up,N,N,H,V,K,W,M,0,distr/pin.png
high,up,N,H,K,N,M,V,W,0,distr/kopatych.png
high,up,N,K,M,H,W,N,V,0,distr/sovunya.png
high,up,N,M,W,K,V,H,N,0,distr/nyusha.png
high,up,N,W,V,M,N,K,H,0,distr/ezhik.png
high,up,N,V,N,W,H,M,K,0,distr/barash.png
high,up,N,N,H,V,K,W,M,0,distr/karych.png
high,up,X,H,K,X,M,V,W,0,distr/krosh.png
high,up,X,K,M,H,W,X,V,0,distr/losyash.png
high,up,X,M,W,K,V,H,X,0,distr/pin.png
high,up,X,W,V,M,X,K,H,0,distr/kopatych.png
high,up,X,V,X,W,H,M,K,0,distr/sovunya.png
high,up,X,X,H,V,K,W,M,0,distr/nyusha.png
high,up,X,H,K,X,M,V,W,0,distr/ezhik.png
high,up,X,K,M,H,W,X,V,0,distr/barash.png
high,up,X,M,W,K,V,H,X,0,distr/karych.png
high,up,X,W,V,M,X,K,H,0,distr/krosh.png
high,up,X,V,X,W,H,M,K,0,distr/losyash.png
high,up,X,X,H,V,K,W,M,0,distr/pin.png
high,up,X,H,K,X,M,V,W,0,distr/kopatych.png
high,up,X,K,M,H,W,X,V,0,distr/sovunya.png
high,up,X,M,W,K,V,H,X,0,distr/nyusha.png
high,up,X,W,V,M,X,K,H,0,distr/ezhik.png
high,up,X,V,X,W,H,M,K,0,distr/barash.png
